Chen_Kudla.spthy;34.34;8.53
Chen_Kudla_eCK.spthy;26.90;6.32
Joux.spthy;9.96;2.23
Joux_EphkRev.spthy;12.58;2.37
RYY.spthy;6.09;1.56
RYY_PFS.spthy;11.96;1.89
Scott.spthy;15.74;2.72
Scott_EphkRev.spthy;14.88;2.37
TAK1.spthy;21.89;4.76
TAK1_eCK_like.spthy;34.68;5.71
Chen_Kudla.spthy;54.85;8.84
Chen_Kudla_eCK.spthy;27.21;6.49
Joux.spthy;10.14;2.22
Joux_EphkRev.spthy;12.85;2.63
RYY.spthy;6.26;1.73
RYY_PFS.spthy;6.80;1.73
Scott.spthy;15.84;2.60
Scott_EphkRev.spthy;15.25;2.36
TAK1.spthy;22.49;4.77
TAK1_eCK_like.spthy;35.18;5.70
Chen_Kudla.spthy;35.11;7.94
Chen_Kudla_eCK.spthy;27.34;6.47
Joux.spthy;10.18;2.19
Joux_EphkRev.spthy;13.11;2.69
RYY.spthy;6.38;1.74
RYY_PFS.spthy;7.10;1.60
Scott.spthy;16.15;2.73
Scott_EphkRev.spthy;16.12;2.47
TAK1.spthy;22.76;4.83
TAK1_eCK_like.spthy;35.42;5.78
Chen_Kudla.spthy;55.73;9.01
Chen_Kudla_eCK.spthy;27.85;6.80
Joux.spthy;10.31;2.29
Joux_EphkRev.spthy;13.02;2.68
RYY.spthy;12.21;1.98
RYY_PFS.spthy;7.12;1.72
Scott.spthy;15.97;2.78
Scott_EphkRev.spthy;15.20;2.37
TAK1.spthy;22.48;4.90
TAK1_eCK_like.spthy;36.97;5.53
Chen_Kudla.spthy;35.85;8.20
Chen_Kudla_eCK.spthy;27.47;6.66
Joux.spthy;10.22;2.23
Joux_EphkRev.spthy;13.06;2.68
RYY.spthy;11.98;2.00
RYY_PFS.spthy;7.13;1.79
Scott.spthy;15.96;2.77
Scott_EphkRev.spthy;16.12;2.49
TAK1.spthy;22.51;4.92
TAK1_eCK_like.spthy;34.12;6.43
Chen_Kudla.spthy;36.07;8.20
Chen_Kudla_eCK.spthy;27.53;6.84
Joux.spthy;10.21;2.21
Joux_EphkRev.spthy;13.01;2.68
RYY.spthy;6.25;1.72
RYY_PFS.spthy;7.13;1.80
Scott.spthy;15.61;2.68
Scott_EphkRev.spthy;15.91;2.45
TAK1.spthy;22.71;5.04
TAK1_eCK_like.spthy;36.76;5.62
