DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;3.69;2.37
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;3.68;2.36
NAXOS_eCK.spthy;0.14;0.07
NAXOS_eCK_PFS.spthy;0.14;0.07
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.15;0.07
UM_three_pass_combined.spthy;0.27;0.10
UM_three_pass_combined_fixed.spthy;0.20;0.10
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;3.70;2.43
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;3.67;2.35
NAXOS_eCK.spthy;0.14;0.07
NAXOS_eCK_PFS.spthy;0.14;0.07
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.15;0.06
UM_three_pass_combined.spthy;0.27;0.10
UM_three_pass_combined_fixed.spthy;0.20;0.09
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;3.68;2.40
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;3.68;2.34
NAXOS_eCK.spthy;0.15;0.08
NAXOS_eCK_PFS.spthy;0.15;0.07
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.22;0.08
UM_three_pass_combined.spthy;0.27;0.10
UM_three_pass_combined_fixed.spthy;0.20;0.09
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;3.66;2.39
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;3.64;2.37
NAXOS_eCK.spthy;0.14;0.07
NAXOS_eCK_PFS.spthy;0.14;0.07
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.15;0.06
UM_three_pass_combined.spthy;0.28;0.10
UM_three_pass_combined_fixed.spthy;0.20;0.09
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;3.67;2.36
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;3.64;2.37
NAXOS_eCK.spthy;0.14;0.07
NAXOS_eCK_PFS.spthy;0.14;0.07
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.15;0.06
UM_three_pass_combined.spthy;0.27;0.10
UM_three_pass_combined_fixed.spthy;0.20;0.09
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;3.63;2.34
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;3.64;2.35
NAXOS_eCK.spthy;0.14;0.08
NAXOS_eCK_PFS.spthy;0.14;0.07
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.15;0.06
UM_three_pass_combined.spthy;0.27;0.10
UM_three_pass_combined_fixed.spthy;0.20;0.09
