DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;75.23;18.59
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;56.52;14.65
NAXOS_eCK.spthy;2.31;0.49
NAXOS_eCK_PFS.spthy;2.07;0.40
UM_one_pass_attack.spthy;2.08;0.43
UM_one_pass_fix.spthy;1.26;0.28
UM_three_pass.spthy;86.17;12.39
UM_three_pass_combined.spthy;17.66;2.82
UM_three_pass_combined_fixed.spthy;28.06;4.14
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;76.90;18.88
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;57.24;14.86
NAXOS_eCK.spthy;2.08;0.45
NAXOS_eCK_PFS.spthy;2.14;0.41
UM_one_pass_attack.spthy;2.10;0.40
UM_one_pass_fix.spthy;1.26;0.24
UM_three_pass.spthy;83.74;12.15
UM_three_pass_combined.spthy;18.55;3.01
UM_three_pass_combined_fixed.spthy;28.02;4.26
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;76.65;18.80
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;56.61;14.87
NAXOS_eCK.spthy;2.12;0.47
NAXOS_eCK_PFS.spthy;2.19;0.45
UM_one_pass_attack.spthy;2.14;0.45
UM_one_pass_fix.spthy;1.26;0.28
UM_three_pass.spthy;84.16;12.66
UM_three_pass_combined.spthy;18.68;3.11
UM_three_pass_combined_fixed.spthy;28.29;4.53
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;77.74;19.83
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;57.45;15.44
NAXOS_eCK.spthy;2.20;0.51
NAXOS_eCK_PFS.spthy;2.17;0.44
UM_one_pass_attack.spthy;2.15;0.46
UM_one_pass_fix.spthy;1.25;0.29
UM_three_pass.spthy;83.72;12.64
UM_three_pass_combined.spthy;18.58;3.13
UM_three_pass_combined_fixed.spthy;28.48;4.47
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;78.06;19.40
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;57.80;15.36
NAXOS_eCK.spthy;2.10;0.49
NAXOS_eCK_PFS.spthy;2.16;0.45
UM_one_pass_attack.spthy;2.11;0.43
UM_one_pass_fix.spthy;1.27;0.27
UM_three_pass.spthy;83.92;12.76
UM_three_pass_combined.spthy;19.37;3.09
UM_three_pass_combined_fixed.spthy;27.14;4.17
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;77.97;20.03
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;59.83;15.98
NAXOS_eCK.spthy;2.10;0.50
NAXOS_eCK_PFS.spthy;2.12;0.44
UM_one_pass_attack.spthy;2.15;0.46
UM_one_pass_fix.spthy;1.30;0.30
UM_three_pass.spthy;83.26;12.47
UM_three_pass_combined.spthy;19.31;3.14
UM_three_pass_combined_fixed.spthy;27.43;4.43
