DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;54.46;11.12
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;44.51;9.24
NAXOS_eCK.spthy;1.74;0.38
NAXOS_eCK_PFS.spthy;1.88;0.35
UM_one_pass_attack.spthy;2.07;0.44
UM_one_pass_fix.spthy;1.27;0.29
UM_three_pass.spthy;85.97;13.10
UM_three_pass_combined.spthy;17.67;2.92
UM_three_pass_combined_fixed.spthy;30.90;4.78
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;55.80;11.37
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;44.79;9.11
NAXOS_eCK.spthy;1.75;0.36
NAXOS_eCK_PFS.spthy;1.77;0.32
UM_one_pass_attack.spthy;2.09;0.43
UM_one_pass_fix.spthy;1.23;0.26
UM_three_pass.spthy;84.71;12.44
UM_three_pass_combined.spthy;18.60;2.93
UM_three_pass_combined_fixed.spthy;28.92;4.23
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;54.98;10.79
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;44.90;9.09
NAXOS_eCK.spthy;1.74;0.37
NAXOS_eCK_PFS.spthy;1.75;0.33
UM_one_pass_attack.spthy;2.10;0.42
UM_one_pass_fix.spthy;1.26;0.25
UM_three_pass.spthy;84.32;12.29
UM_three_pass_combined.spthy;17.48;2.86
UM_three_pass_combined_fixed.spthy;29.61;4.42
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;57.86;11.33
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;45.07;9.28
NAXOS_eCK.spthy;1.78;0.39
NAXOS_eCK_PFS.spthy;1.85;0.35
UM_one_pass_attack.spthy;2.17;0.46
UM_one_pass_fix.spthy;1.35;0.28
UM_three_pass.spthy;84.96;12.51
UM_three_pass_combined.spthy;18.45;2.80
UM_three_pass_combined_fixed.spthy;28.71;4.39
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;55.34;10.76
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;45.41;9.37
NAXOS_eCK.spthy;1.76;0.37
NAXOS_eCK_PFS.spthy;1.86;0.35
UM_one_pass_attack.spthy;2.10;0.41
UM_one_pass_fix.spthy;1.27;0.26
UM_three_pass.spthy;87.99;13.00
UM_three_pass_combined.spthy;17.91;3.07
UM_three_pass_combined_fixed.spthy;29.46;4.74
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;55.79;11.33
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;45.65;9.52
NAXOS_eCK.spthy;1.79;0.38
NAXOS_eCK_PFS.spthy;1.87;0.35
UM_one_pass_attack.spthy;2.14;0.46
UM_one_pass_fix.spthy;1.25;0.29
UM_three_pass.spthy;85.28;12.95
UM_three_pass_combined.spthy;17.79;3.04
UM_three_pass_combined_fixed.spthy;29.26;4.81
